CÓDIGO BIC,ID_REGAGE,MUNICIPIO,PROVINCIA,BIEN,DIRECCIÓN/LUGAR,X,Y,CATEGORÍA,FECHA DECLARACIÓN,FECHA DIARIO,FECHA BOLETÍN,HAY DATOS,ENTREGADO
,,Columna1,Columna7,Columna2,Columna8,Columna9,Columna10,Columna3,Columna12,Columna13,Columna14,,
15983,(R.I.) - 53 – 0000391 - 00000,FUENTE DEL MAESTRE,BADAJOZ,Conjunto Histórico,"Plaza de España, 1 CP. 06380",199330,4270052,Conjunto Histórico,"DECRETO 136/1998, de 17 noviembre",DOE: 24-11-1998,BOE: 28-12-1998,,
15959,(R.I.) - 53 – 0000367 – -00001,GALISTEO,CÁCERES,Conjunto Histórico,"Plaza de España, 25 CP. 10691",220964,4430248,Conjunto Histórico,"DECRETO 99/1991, de 3 septiembre",DOE: 10-09-1991,BOE:,,
30153,,GARBAYUELA,BADAJOZ,La Danza y las Fiestas de San Blas de Garbayuela ,"Plaza Constitución, 1 Bajo CP. 06690","326909,04","4324122,47",Patrimonio Cultural Inmaterial,"DECRETO 59/2020, de 14 octubre",DOE: 20-10-2020,BOE: 20-03-2021,,
30299,,GARBAYUELA,BADAJOZ,Los Auroros,"Plaza Constitución, 1 Bajo CP. 06690","326909,04","4324122,47",Patrimonio Cultural Inmaterial,"DECRETO 116/2021, de 13 octubre",DOE: 19-10-2021,BOE: 22-12-2021,,
6973,(R.I.) - 51 – 0004252 – 00000,GARCIAZ,CÁCERES,Iglesia Parroquial Santiago Apóstol,"Calle Granados, 9 CP. 10250",273762,4365824,Monumento,ORDEN MINISTERIAL: 01/07/1977,,BOE: 08-09-1977,,
9692,(R.I.) - 51 – 0006922 – 00000,GARGANTA LA OLLA,CÁCERES,Iglesia Parroquial de San Lorenzo,"Plaza Portal, 1 CP. 10.412",263454,4443867,Monumento,"REAL DECRETO 1595/1989, de 22 diciembre",,BOE: 29-12-1989,,
15794,(R.I.) - 53 – 0000214 – 00000,GARGANTA LA OLLA,CÁCERES,Conjunto Histórico,"Plaza Mayor, 1 CP. 10412",263433,4443843,Conjunto Histórico,"REAL DECRETO 542/1978, de 10 febrero",,BOE: 25-03-1978,,
146382,,GARROVILLAS DE ALCONÉTAR,CÁCERES,Órgano de la iglesia parroquial de Santa María de la Consolación,"C. Sta. María, 1, 10940 ","195597,62","4401835,43",Bien Mueble,"Decreto 6/2020, de 26 de febrero",DOE:03-03-2020,BOE: 23-04-2020,,
9915,R-I-51-0007140-00000,GARROVILLAS DE ALCONÉTAR,CÁCERES,Convento de San Antonio,Polígono 14 parcela 3128 CP. 10940,195065,4401735,Monumento,"DECRETO 115/1991, de 22 octubre",DOE: 31-10-1991,,,1
3135,(R.I.) - 51 – 0000486 – 00000,GARROVILLAS DE ALCONÉTAR,CÁCERES,Puente romano de Alconétar,Polígono 15 parcela 9001 CP. 10940,205525,4406118,Monumento,,,LA GACETA: 04-06-1931,,
2328,,GATA,CACERES,Iglesia Parroquial de San Pedro,"Calle Santa María, 1 CP. 10860","194048,52","4460319,57",Monumento,"DECRETO 80/2023, de 26 julio",DOE: 21-058-2023,BOE: 09-10-2023,,
15898,(R.I.) - 53 – 0000307 – 00000,GATA,CÁCERES,Conjunto Histórico,"Plaza de la Constitución, 1 CP. 10860",194036,4460378,Conjunto Histórico,"DECRETO 28/1995, de 21 marzo",DOE: 01-04-1995,,,
15817,(R.I.) - 53 – 0000232 -00000,ZARZA DE GRANADILLA,CÁCERES,"Conjunto Histórico ""La Villa de Granadilla""",,235844,4462120,Conjunto Histórico,"REAL DECRETO 2428/1980, de 26 septiembre",,BOE: 10-11-1980,,
3764,(R.I.) - 51 – 0001076 - 00000,GRANJA DE TORREHERMOSA,BADAJOZ,Torre de la Iglesia Parroquial Ntra. Sra. de Concepción,"Calle Real, 2 CP. 06910",273139,4243484,Monumento,27-10-32,,27-10-1932,,
15547,(R.I.) - 53 – 0000009 -00000,GUADALUPE,CÁCERES,Conjunto Histórico,"Avenida Blas Pérez González, 2 CP. 10140",299765,4369628,Conjunto Histórico,DECRETO DE 27 de septiembre de 1943,,BOE: 10-10-1943,,
2632,(R.I.) - 51 – 0000024 – 00000,GUADALUPE,CÁCERES,Monastero. Santuario de Nuestra Señora de Guadalupe,"Plaza Santa María de Guadalupe, 52 CP. 10140",299744,4369617,Monumento,,,BOE:09-03-1879,,
,(R.I.) - 51 – 0001118 – 00000,GUADALUPE,CÁCERES,Granja de Valdefuentes,"Granja Valdefuentes, polígono 31 parcela 3",301404,4365247,Monumento,03/06/1931,,LA GACETA: 04-06-1930,,
3610,(R.I.) - 51 - 0000943 - 00000,GUADALUPE,CÁCERES,Granja de Mirabel,Paraje. Ermita de Mirabel CP. 10140 ,297079,4367841,Monumento,03/06/1931,,LA GACETA: 04-06-1930,,
3072,(R.I.) - 51 – 0000425 – 00000,GUADALUPE,CÁCERES,Humilladero,Paraje. Ermita de Mirabel CP. 10141,297983,4371012,Monumento,,,LA GACETA: 04-06-1931,,
29795,,GUADALUPE,CÁCERES,Sistema de Abastecimiento hidráulico medieval al Real Monasterio de Guadalupe,"Polígono 15, parcela 2 CP. 10140","296336,88","4370755,23",Monumento,"DECRETO 166/2017, de 17 octubre",23-10-2017,BOE: 10-01-2018,,
8195,(R.I.) - 51 - 0005428 - 00000,GUAREÑA,BADAJOZ,Iglesia Parroquial de Sta. María,"Calle Santa María, 7 CP. 06470",230629,4305834,Monumento,"DECRETO 1557/1990, de 30 noviembre",,BOE: 04-12-1990,,
30154,,GUAREÑA,BADAJOZ,"Conjunto arqueológico de ""Casas del Turuñuelo""",,"234394,51","4315623,06",Zona Arqueológica,"Decreto 31/2021, de 28 de abril",DOE: 04-05-2021,BOE: 03-06-2021,,
29953,,HERRERA DEL DUQUE (PELOCHE),BADAJOZ,Fiestas Patronales de San Antonio Abad,,"315514,7","4339863,79",Patrimonio Cultural Inmaterial,"DECRETO 134/2022, de 9 de noviembre",DOE 15-11-2022,03/12/2022,,
15676,( A.R.I. - 53 – 0000101 - 00000,HERVÁS,CÁCERES,Conjunto Histórico (Barrio Judío),"Plaza González Fiori, 7 CP. 10700",257116,4462166,Conjunto Histórico,"DECRETO 308/1969, 13 febrero",,BOE: 03-03-1969,,
9734,(R.I.) - 51 - 0006965 - 00000,HORNACHOS,BADAJOZ,Iglesia Parroquial de la Purísima Concepción,"Calle Iglesia, 27 CP. 06228",232923,4271835,Monumento,"REAL DECRETO 1035/1990, de 27 julio",,BOE:07-08-1990,,
2331,1272,HOYOS,CÁCERES,Iglesia parroquial del Buen Varón,"Plaza Mayor, 5 CP. 10850",183108,4453380,Monumento,"DECRETO 102/2018, de 3 julio",DOE: 09-07-2018,BOE:,,
9758,(R.I.) - 51 - 0006989 - 00000,JARAIZ DE LA VERA,CÁCERES,Iglesia de Santa María,"C/ Crucera Santa María, 1 CP. 10400",264845,4438036,Monumento,16-11-90,,BOE: 21-11-1990,,
15653,R-I-53-0000080-00000,JEREZ DE LOS CABALLEROS,BADAJOZ,Conjunto Histórico,"Plaza de España, 25 CP. 06380",170420,4248150,Conjunto Histórico,"DECRETO 3301/1966, de 29 diciembre",DOE: 24-01-1967,,,
3044,R.I.) – 51 – 0000398-00000,JEREZ DE LOS CABALLEROS,BADAJOZ,Monumento Nacional Sepulcro Megalítico de la Granja del Toriñuelo,"La Granja, s/n CP. 06380",175346,4249182,Zona Arqueológica,"DECRETO 29/2019, de 1 abril",,BOE: 03-05-2019,,
2354,1299,JEREZ DE LOS CABALLEROS,BADAJOZ,Iglesia de San Bartolomé,"Calle Llano San Bartolomé, 8 CP. 06380",170275,4248294,Monumento,"DECRETO 188/2013, de 8 octubre",DOE: 14-10-2013,BOE: 15-11-2013,,
30137,,JEREZ DE LOS CABALLEROS,BADAJOZ,"""Casa Romana El Pomar""","C. Ruinas Romanas, 2, CP. 06380",170809,4248207,Zona Arqueológica,"DECRETO 4/2021, de 3 febrero",DOE: 9-02-2021,BOE: 20-03-2021,,
,( R.I. ) - 53 - 0000080 - 00000,JEREZ DE LOS CABALLEROS,BADAJOZ,Conjunto Histórico,Plaza de la Alcazaba s/n CP. 06380,170420,4248150,,"DECRETO 3301/1966, de 29 diciembre",,BOE: 24-01-2967,,
28630,,LA PARRA,BADAJOZ,Convento de Santa Clara,"Calle Santa María, 13b CP. 06176",183970,4269958,Monumento,"DECRETO 81/2013, de 21 mayo",DOE: 28-05-2013,BOE: 16-07-2013,,
9847,A-R-I-51-000007072,LA ZARZA,BADAJOZ,Iglesia Parroquial de San Martín,"Calle Iglesia, 34 CP. 06830",221004,4301364,Monumento,"DECRETO 223/2014, de 30 septiembre",DOE: 06-10-2014,BOE: 29-12-2014,,
0104,A-R-I-104.,LA ZARZA,BADAJOZ, Abrigo de La Calderita - Pinturas Rupestres,"Polígono 7, parcela 474, Calderita CP. 06830",220052,4299434,Zona Arqueológica,"DECRETO 2/2011, de 14 enero",DOE: 20-01-2011,BOE: 09-02-2011,,
28578,,LLERA,BADAJOZ,"Conjunto de chozos, zahúrdas y cerca de la finca Las Mil y Quinientas",CP. 06100,229722,4264446,Lugar de Interés Etnológico,"DECRETO 23/2013, de 5 MARZO",DOE: 12-03-2013,BOE: 15-04-2013,,
15654,R-I-53-0000081-00000,LLERENA,BADAJOZ,Conjunto Histórico,"Plaza de España, 1 CP. 06900",236113,4236514,Conjunto Histórico,"DECRETO 3302/1966, de 29 diciembre",,BOE: 24-01-1967,,
16628,(R.I.) - 55 - 0000019 - 00000,LOGROSÁN,CÁCERES,Ruinas Arqueológicas Sierra de San Cristóbal,"Polígono 41 parcela 329, La Marina CP. 10120","284829,57","4356234,3",Monumento,,,LA GACETA: 04-06-1931,,
2333,1274,LOSAR DE LA VERA,CÁCERES,Iglesia Parroquial de Santiago,"Pl. España, 4, CP. 10460 ",278164,4444423,Monumento, DECRETO 58/2022 de 25 de mayo,DOE: 01-06-2022,BOE: 04-11-2022,,
7137,R.I.) - 51 - 0004411 - 00000,MADRIGALEJO,CÁCERES,Restos de la Casa Santa María,"Calle Santa María, 11 CP. 10110",273164,4335605,Monumento,"REAL DECRETO 594/1980, de 22 febrero",,BOE: 02-04-1980,,
30621,,MAGACELA,BADAJOZ,Conjunto de Hornos,,"264373,69","4307480,62",Lugar de Interés Etnológico,DECRETO 14/2024. de 20 febrero,DOE: 26-02-2024,,,
15992,R-I-53-0000400-00000,MAGACELA,BADAJOZ,Conjunto Histórico,"Avenida de la Constitución, 2 CP. 06468",262676,4308815,Conjunto Histórico,"DECRETO 76/2017, de 13 junio que modifica el DECRETO 35/1994, de 7 marzo",DOE: 12-03-1994 Y DOE: 19-06-2017 ,BOE: 27-07-2017,,
16415,(R.I.) - 54 – 0000077 - 00000,MALPARTIDA DE CÁCERES,CÁCERES,Lavadero de los Barruecos,,198340,4369498,Sitio Histórico,"DECRETO 62/1991, de 23 julio",DOE: 30-07-1991,BOE:19-11-2018,,
2352,1294,MALPARTIDA DE PLASENCIA,CÁCERES,Iglesia de San Juan Bautista,"Plaza Iglesia, 14 CP. 10680",240108,4429998,Monumento,"DECRETO 172/2018, de 16 octubre",DOE: 22-10-2018,,,
28812,,MEDELLÍN,BADAJOZ,Patrimonio Histórico-Artístico,"Plaza Hernán Cortés, 1 CP. 06411",243676,4317215,Sitio Histórico,"DECRETO 162/2014, de 22 julio",DOE: 28-07-2014,BOE: 23-10-2014,,
29847,,MEDINA DE LAS TORRES,BADAJOZ,Ciudad romana de Contributa iulia Ugultunia-yacimiento Los Cercos,"Polígono 2, parcela 397, Los Cercos CP. 06320",203727,4249859,Zona Arqueológica,"DECRETO 22/2018, de 14 febrero",DOE: 19-02-2018,BOE:,,
,(R.I.) - 51 – 0000108 - 00000,MÉRIDA,BADAJOZ,Anfiteatro romano,"Plaza Margarita Xirgú, s/n CP. 06800",210586,4312773,Monumento,,,GACETA MADRID: 03-01-1913,,1
,(R.I.) - 51 – 0000113 - 00000,MÉRIDA,BADAJOZ,"Acueducto de San Lázaro Acueducto ""Rabo de Buey"".","Avenida Juan Carlos I, s/n CP. 06800","210818,66","4313838,42",Monumento,,,GACETA MADRID: 03-01-1913 / BOE: 08-09-1988,,
2726,(R.I.) - 51 – 0000114 - 00000,MÉRIDA,BADAJOZ,Pantano de Proserpina,Carretera de Proserpina CP. 06800,208387,4318512,Monumento,,,,,
,(R.I.) - 51 – 0000123- 00000,MÉRIDA,BADAJOZ,Iglesia Parroquial de Sta. Eulalia,"Av. Extremadura, 11, CP. 06800","210253,42","4313289,45",Monumento,,,GACETA MADRID: 03-01-1913,,
2718,(R.I.) - 51 – 0000106- 00000,MÉRIDA,BADAJOZ,Dólmen del Prado de Lácara,Cordobilla de Lácara ,"203952,22","4327872,59",Monumento,,,GACETA MADRID: 04/06/1931,,1
,(R.I.) - 51 – 0000120- 00000,MÉRIDA,BADAJOZ,Columbarios romanos,"Calle Vía Ensanche, s/n CP. 06800",210480,4312400,Monumento,,,GACETA MADRID: 03-01-1913,,
,(R.I.) - 51 – 0000117- 00000,MÉRIDA,BADAJOZ,Arco romano de Trajano,"C. Trajano, 8 CP. 06800",209856,4312987,Monumento,,,GACETA MADRID: 03-01-1913,,
,(R.I.) - 51 – 0000121- 00000,MÉRIDA,BADAJOZ,Termas en calle General Aranda (Actual c/ Reyes Huertas),"C. Reyes Huertas, 1, CP. 06800",210466,4313015,Monumento,,,GACETA MADRID: 03-01-1913,,
8087,(R.I.) - 51 – 0005321 - 00000,MÉRIDA,BADAJOZ,Convento de San Andrés o Santo Domingo,"Plaza de Santo Domingo, 3 CP. 06800",210029,4312511,Monumento,29-10-92,DOE: 29-10-1992  DOE: 09-10-1992 (Corrección de errores),30/10/1992,,
8088,(R.I.) - 51 – 0005321 - 00001,MÉRIDA,BADAJOZ,Convento de San Andrés. Delimitación del entorno de Protección,"Plaza de Santo Domingo, 3 CP. 06800",210029,4312511,Monumento,,DOE: 09-12-1997,BOE: 19-01-1998,,
16835,(R.I.) - 55 – 0000221 - 00000,MÉRIDA,BADAJOZ,Casa del Mitreo,"Calle Oviedo, 2 (A) CP. 06800",210294,4312226,Zona Arqueológica,,,BOE: 19-09-1990,,
16836,(R.I.) - 55 – 0000222 - 00000,MÉRIDA,BADAJOZ,Casa del Anfiteatro,"Calle Mariano José de Larra, 46 (A) CP. 06800",210654,4312915,Zona Arqueológica,,,DOE: 26-11-1991,,
,(R.I.) - 51 – 0000112 - 00000,MÉRIDA,BADAJOZ,Acueducto romano de Los Milagros," Av. Vía de la Plata, S/N,  CP. 06800",209754,4313672,Monumento,,,LA GACETA: 03-01-1913,,
2736,(R.I.) - 51 – 0000124 - 00000,MÉRIDA,BADAJOZ,Alcazaba-Conventual,"Paseo Roma, s/n CP. 06800",209816,4312656,Monumento,,,LA GACETA: 03-01-1913,,
8218,ARI-51-0005450-00000/5449,MÉRIDA,BADAJOZ,Monasterio de San Isidro de Loriana,,191112,4338938,Monumento,"DECRETO 214/2013, de 12 noviembre",DOE: 18-11-2013,BOE: 27-01-2014,,
,(R.I.) - 51 – 0000122 - 00000,MÉRIDA,BADAJOZ,Basílica romano-cristiana,"Plaza Margarita Xirgu, s/n, CP. 06800",210460,4312683,Monumento,,,GACETA MADRID: 03-01-1913,,
,(R.I.) - 51 – 0000107 - 00000,MÉRIDA,BADAJOZ,Teatro Romano,"Plaza Margarita Xirgu, s/n, CP. 06800",210517,4312697,Monumento,,,GACETA MADRID: 03-01-1913,,1
,(R.I.) - 51 – 0000118 - 00000,MÉRIDA,BADAJOZ,Templo Romano de Diana,"C. Sta. Julia, 5 CP. 06800","210033,21","4312836,53",Monumento,,,GACETA MADRID: 03-01-1913,,
15726,R.I.) – 53 – 0000148-00000,MÉRIDA,BADAJOZ,Conjunto Histórico ,"Plaza de España, 1 CP.06800",209996,4313093,Conjunto Histórico,,,BOE: 27-02-1982,,
8136,(R.I.) - 51 – 0005396 - 00000 / 0005369,MÉRIDA,BADAJOZ,Antiguo Convento de Santa Eulalia (Convento de las Freylas),"Avenida Extremadura, 9 CP. 06800","210218,77","4313291,95",Monumento,,,BOE: 11-05-1988,,
,(R.I.) - 51 – 0000109 - 00000,MÉRIDA,BADAJOZ,Circo Romano,"Av. de Juan Carlos I, s/n, CP. 06800",211101,4313184,Monumento,,,GACETA MADRID: 03-01-1913,,
,(R.I.) - 51 – 0001309 - 00000,MÉRIDA,BADAJOZ,Museo Arqueológico Provincial,,209818,4312908,Monumento,,,GACETA MADRID: 03-01-1913 / BOE: 09-03-1962,,
2723,(R.I.) - 51 – 0000111 - 00000,MÉRIDA,BADAJOZ,Puente romano sobre Albarregas,"Avenida Vía de la Plata, s/n CP. 06800",209643,4313656,Monumento,,,GACETA MADRID: 03-01-1913,,
,(R.I.) - BI– 0000030 - 00000,MÉRIDA,BADAJOZ,Biblioteca Pública del Estado,,"208921,88","4312679,78",,,,BOE: 29-06-1985,,
,(R.I.) - 51 – 0000119 - 00000,MÉRIDA,BADAJOZ,Restos del Templo Romano de Marte,"Av. Extremadura, 11, CP. 06800",210266,4313259,Monumento,,,GACETA MADRID: 03-01-1913,,
30564,,MÉRIDA,BADAJOZ,Festival Internacional de Teatro Clásico,"Plaza de España 1, CP. 06800","209899,75","4312840,45",Patrimonio Cultural Inmaterial,"DECRETO 25/2024, de 26 marzo",DOE: 02-04-2024,,,
,(R.I.) - 51 – 0000110 - 00000,MÉRIDA,BADAJOZ,Puente Romano sobre el Guadiana,"Paseo de Roma, s/n CP. 06800",209476,4312505,Monumento,,,GACETA MADRID: 03-01-1913,,
11485,(R.I.) - 51 - 0008698 - 00000,MIAJADAS,CÁCERES,Iglesia Parroquial de Santiago Apóstol,"Calle Santiago, 1 CP. 10100",248684,4337762,Monumento,DECRETO 15/2020. de 11 de marzo,DOE: 17-03-2020,BOE: 03-06-2020,,
28419,28419,MONESTERIO,BADAJOZ,"Conjunto “Huerta, noria y cocedero de altramuces” Finca La Cabra",,209798,4224085,Lugar de Interés Etnológico,"DECRETO 68/2012, de 27 abril",DOE: 04-05-2012,BOE:11-07-2012,,
2336,1278,MONTEHERMOSO,CÁCERES,Iglesia parroquial Ntra. Sra. De la Asunción,"C. la Iglesia,CP.  10810 ",214418,4442992,Monumento,Decreto 18/2022 de 2 de marzo,DOE: 08-03-2022,BOE: 19-04-2022,,
29119,,MORALEJA,CÁCERES,Casa de la Encomienda,"Plaza de la Encomienda, 2 CP. 10840",187602,4441700,Monumento," DECRETO 10/2016, de 2 de febrero",DOE 08-02-2016,BOE: 29-04-2016,,
,(R.I.) - 51 - 0000484 - 00000,OLIVA DE PLASENCIA,CÁCERES,Arco romano de Cáparra,,235923,4450858,Monumento,3-6-1931,,LA GACETA: 04-06-1931,,
,(R.I.) - 51 - 0000485 - 00000,OLIVA DE PLASENCIA,CÁCERES,Puente romano de Cáparra,"CC-11.2, 10665 Oliva de Plasencia ",232691,4453675,Monumento,3-6-1931,,LA GACETA: 04-06-1931,,
16625,(R.I.) - 55 - 0000016 - 00000,OLIVA DE PLASENCIA,CÁCERES,Ruinas romanas de Cáparra,"Polígono 5, parcela 12 Fresnedilla CP. 10667",235943,4450836,Zona Arqueológica,3-6-1931,,LA GACETA: 04-06-1931,,
15615,R-I-53-0000047-00000,OLIVENZA,BADAJOZ,Conjunto Histórico Artístico de Olivenza,"Plaza de la Constitución, 2 CP. 06100",143310,4289838,Conjunto Histórico,18-6-1964,,BOE: 17-07-1964,,
8191,R-I-51-0005424-00000,OLIVENZA,BADAJOZ,Capilla del Hospital o Casa de la Misericordia,"Calle Caridad, 10 CP. 06100",143278,4289769,Monumento,10-3-1992,,DOE:17-03-1992,,
14172,(A.R.I. - 51-0011235-00000,OLIVENZA,BADAJOZ,Puente Ajuda,Embalse de Alqueva CP. 06100,137660,4300230,Monumento,"DECRETO 52/2009, de 13 marzo",DOE: 19-03-2009,BOE: 18-10-2012,,
,(R.I.) - 51 - 0001190 - 00000,ORELLANA LA VIEJA,BADAJOZ,Palacio Castillo del Marqués de Belgida,"Ronda Palacio, 1, CP: 06740",280623,4320314,Monumento,3-3-89,,5-5-1948,,
2358,1303,PALOMAS,BADAJOZ,Iglesia Parroquial Nuestra Señora de Gracia,"Calle Iglesia, 5 cp. 06476",227453,4287169,Monumento,"DECRETO 213/2013, de 12 noviembre",DOE: 18-11-2013,BOE: 27-01-2014,,
,R-I-53-0000433-00000,PASARÓN DE LA VERA,CÁCERES,Conjunto histórico,"Plaza de España 1, CP. 10411",259364,4437316,,"DECERTO 98/1998, de 21 julio",DOE: 28-07-1998,,,
2337,1279,PASARÓN DE LA VERA,CÁCERES,Iglesia Parroquial del Salvador,"Plaza Iglesia, 14 CP. 10411",259333,4437225,Monumento,"DECRETO 73/2016, de 7 junio",DOE: 13-06-2016,BOE:30-06-2016,,
29796,,PASARÓN DE LA VERA,CÁCERES,Palacio de los Condes de Osorno,"Calle la Magdalena, 1 CP. 10411","259382,4","4437544,63",Monumento,"DECRETO 60/2018, de 15 mayo",DOE: 21-05-2018,BOE: 19-06-2018,,
30302,,PEÑALSORDO,BADAJOZ,La Octava del Corpus,"Plaza de España, 1 CP. 06610","316280,26","4298872,79",Patrimonio Cultural Inmaterial,"DECRETO 31/2022, de 23 marzo",DOE: 29-03-2022,BOE: 19-04-2022,,
3131,(R.I.) - 51 – 0000482 - 00000,PLASENCIA,CÁCERES,Catedral de Santa María,"Plaza de la Catedral, 1 CP. 10600","236263,56","4435450,46",Monumento,,,LA GACETA: 04-06-1931,,
6982,(R.I.) - 51 – 0004261 - 00000,PLASENCIA,CÁCERES,Palacio de Mirabel,"Plaza San Vicente Ferrer, 1 CP. 10.600",236055,4435600,Monumento,,,BOE: 10-02-1978,,
15577,R-I-53-0000028-00000,PLASENCIA,CÁCERES,Conjunto Histórico,"Calle Rey, 6 CP. 10600",236277,4435663,Conjunto Histórico,20-6-58,,BOE: 08-07-1958,,
28811,,PLASENCIA,CÁCERES,Palacio Carvajal-Girón,"Plaza Ansano, 1 CP. 10600",236193,4435540,Monumento,"DECRETO 242/2013, de 23 diciembre",DOE: 02-01-2014,BOE: 07-02-2014,,
28705,,PUEBLA DE LA REINA,BADAJOZ,Iglesia Parroquial de Santa Olalla,"Plaza de la Iglesia, s,n CP. 06477",230002,4284037,Monumento,"DECRETO 222/2014, 30 septiembre",DOE: 06-10-2014,BOE: 25-12-2014,,
,(R.I.) - 51 - 0000404 - 00000,REINA,BADAJOZ,Alcazaba,Polígono 6 Parcela 1 CP. 06970,241057,4231005,Monumento,3-6-31,,LA GACETA: 04-06-1931,,
16023,R-I-53-0000430-00000,ROBLEDILLO DE GATA,CÁCERES,Conjunto Histórico,"Plaza Pizarro, 6 Es: E, Pl: 00, Pt: 01 CP. 10867",205098,4469373,Conjunto Histórico,"DECRETO 39/1994, de 7 marzo",DOE: 15-03-1994,,,
28666,,ROMANGORDO,CÁCERES,Yacimiento Arqueológico de Albalat,"Polígono 1, parcela 19, La Cañada CP. 10859",266987,4406295,Zona Arqueológica,"DECRETO 14/2014, de 18 febrero",DOE: 24-02-2014,BOE: 25-03-2014,,
30136,,ROMANGORDO,CÁCERES,Iglesia parroquial de Santa Catalina ,"Plaza España, 6 CP. 10359","268528,58","4402592,4",Monumento,"DECRETO 14/2020, de 11 de marzo, ",DOE: 17-03-2020,BOE:29-05-2020,,
16411,R-I-54-0000073-00000,SALVATIERRA DE LOS BARROS,BADAJOZ,Pozo o Casa de la Nieve,"Polígono 16, parcela 342, Pozo Nieve CP. 06175","177882,57","4267242,19",Sitio Histórico,"DECRETO 109/1994, de 2 agosto",DOE: 11-08-1994,,,
2727,(R.I.) - 51 - 0000115 - 00000,MÉRIDA,BADAJOZ,Pantano Romano de Cornalvo,"Autovía A-5, salida Trujillanos ",223599,4320362,Monumento,13-12-12,,LA GACETA: 03-01-1913,,
1074,(R.I.) - 51 - 0007298 - 00000,SAN VICENTE DE ALCÁNTARA,BADAJOZ,Ermita de Santa Ana,"Calle La Puertita, 21 CP. 06500",143505,4364863,Monumento,"DECRETO 51/1994, de 22marzo",DOE: 29-03-1994,BOE:,,
9782,(A.R.I.) - 51 - 0007013 - 00000,SANTA AMALIA,BADAJOZ,Iglesia Parroquial de Santa Amalia,"Plaza España, 17 CP. 06410",239238,4322430,Monumento,"DECRETO 215/2014, de 16 septiembre",DOE: 19-09-2014,BOE: 23-10-2014,,
6640,(R.I.) - 51 – 0003930 - 00000,SANTA CRUZ DE LA SIERRA,CÁCERES,Iglesia Parroquial de la Vera Cruz,"Calle Real, 2 CP. 10.260",254708,4357942,Monumento,21-2-74,,BOE 13-04-1974,,
16627,(R.I.) - 55 – 0000018 - 00000,SANTA CRUZ DE LA SIERRA,CÁCERES,Castro,,254626,4356169,Zona Arqueológica,,,LA GACETA:04-06-1931,,
16619,(R.I.) - 55 - 0000010 - 00000,SANTA MARTA DE LOS BARROS,BADAJOZ,Villa Romana,Paraje La Dehesilla,184277,4278642,Zona Arqueológica,,,LA GACETA: 04-06-1931,,
0105,,SANTIBÁÑEZ EL ALTO,CÁCERES,Conjunto Agroganadero Los Pajares,"Polígono 13, parcela 677, Dehesa Boyal CP. 10859",197512,4453503,Lugar de Interés Etnológico,"DECRETO 199/2010, de 15 octubre",DOE: 21-10-2010,BOE:,,
15406,R-I-51-0012328-00000,SEGURA DE LEÓN,BADAJOZ,Iglesia Parroquial Nuestra Señora de la Asunción,"Calle Iglesia, 2 CP. 06270",190604,4225032,Monumento,"DECRETO 109/2009, de 8 mayo",DOE: 15-05-2009,,,
7729,(R.I.) - 51 - 0004499 - 00000,SERRADILLA,CÁCERES,Monasterio del Santísimo Cristo de la Victoria,"Calle Liberato Alonso, 15 CP. 10530",231382,4413637,Monumento,,,BOE: 10-08-1981,,
30259,R-M-14-0000023,SIERRA DE GATA,CÁCERES,"A FALA (ELJAS, SAN MARTÍN DE TREVEJO Y VALVERDE DEL FRESNO)","Plaza de la Constitución 1 CP. 10891 - Eljas ; Plaza Mayor, 1 CP. 10892 San Martín de Trevejo; Plaza de la Constitución, 5 CP. 10890 Valverde del Fresno","172649,31","4458957,84",Patrimonio Inmaterial,"DECRETO 45/2001, de 20 marzo",DOE: 27-03-2001,BOE: 24-04-2001,,
7123,(R.I.) - 51 – 0004397 - 00000,TEJEDA DE TIÉTAR,CÁCERES,Iglesia Parroquial de San Miguel,"Calle San Juan, 10 CP. 10420",255247,4433921,Monumento,ORDEN de 13 diciembre 1979,,BOE: 08-01-1980,,
30056,,TORRE DE DON MIGUEL,CÁCERES,Iglesia parroquial de Nuestra Señora de la Asunción,"Plaza Mayor, 9 CP. 10864",195639,4458784,Monumento,"DECRETO 173/2019, de 5 noviembre",DOE: 11-11-2019,BOE: 03-12-2019,,
28752,,TORREJONCILLO,CÁCERES,Iglesia de San Andrés,"Plaza Mayor, 1 CP. 06830",203679,4422017,Monumento,"DECRETO 8/2014, de 4 febrero",DOE: 10-02-2014,BOE: 25-03-2014,,
11894,R-I-51-0009090-00000,TORREMEJÍA,BADAJOZ,Casa Palacio de los Lastra,"Calle Grande, 70 CP. 06210",206314,4298917,Monumento,4-4-95,,DOE: 08-04-1995,,
29759,,TORREQUEMADA,CÁCERES,Las Corralás,"Polígono 5, parcela 153, Dehesa Boyal CO. 10183",222097,4361584,Lugar de Interés Etnológico,"DECRETO 174/2017, de 24 octubre",DOE: 30-10-2017,BOE: 10-01-2018,,
7024,(R.I.) - 51 - 0004301 - 00000,TRUJILLO,CÁCERES,(Convento) Palacio de San Carlos,"Calle García de Paredes, 2 (D) CP. 10.200",252171,4371907,Monumento,,,,,
,(R.I.) - 51 - 0000308 - 00000,TRUJILLO,CÁCERES,Castillo,"Pl. del Castillo, 1, CP. 10200",251989,4372112,Monumento,,,BOE: 18-04-1925,,
