CÓDIGO BIC,ID_REGAGE,MUNICIPIO,PROVINCIA,BIEN,DIRECCIÓN/LUGAR,X,Y,CATEGORÍA,FECHA DECLARACIÓN,FECHA DIARIO,FECHA BOLETÍN,HAY DATOS,ENTREGADO
,,Columna1,Columna7,Columna2,Columna8,Columna9,Columna10,Columna3,Columna12,Columna13,Columna14,,
9693,(R.I.) - 51 - 0006923 - 00000,BADAJOZ,BADAJOZ,"Casas Nº 16, 16-a y 16-b de la Avd. de Joaquín Costa CONVENTO DE CLARISAS","Avenida Joaquín Costa, 16 CP. 06001",155237,4311085,Monumento,"REAL DECRETO 1596/1989, de 22 diciembre",,BOE: 29-12-1989,,
4008,(R.I.) - 51 - 0001307 - 00000,BADAJOZ,BADAJOZ,Museo Arqueológico Provincial,"Plaza José Álvarez Sáez de Buruaga, s/n CP. 06002",155750,4311196,Monumento,"DECRETO 474/1962, de 1 marzo",,BOE: 09-03-1962,,
1799,(R.I.) – AR – 0000017 -00000,BADAJOZ,BADAJOZ,Archivo Histórico Provincial,"Avenida Europa, 2, 3ª planta CP. 10004",155300,4310408,Monumento,,,BOE: 29-06-1985,,
28550,,BADAJOZ,BADAJOZ,Edificio Metálico (antiguo Mercado de Abastos),"Avenida Elvas, s/n CP. 06006",152146,4311427,Monumento,"DECRETO 251/2021, de 18 diciembre",DOE: 24-12-2012,BOE: 29-01-2013,,
3040,(R.I.) - 51 - 0000394 - 00000,BADAJOZ,BADAJOZ, Catedral San Juan Bautista,"Plaza España, 1 CP. 06002",155403,4310625,Monumento,LA GACETA: 04-06-1931,,,,
3045,R-I-51-0000399-00000,BADAJOZ,BADAJOZ," Torre de Espantaperros, Alcázar  y Recinto de Badajoz (Alcazaba)","Parque La Alcazaba, 4 CP. 06007",155754,4311274,Monumento,3-6-31,,LA GACETA: 04-06-1931,,
4009,R-I-51-0001308-00000,BADAJOZ,BADAJOZ,Museo de Bellas Artes,"C. Duque de San German, 3 CP. 06001",155413,4310939,Monumento,1-3-62,,LA GACETA: 09-03-1962,,
30316,,BADAJOZ,BADAJOZ,Puente de Cantillana,,"156807,234","4314937,419",Monumento,"DECRETO  81/2022, de 22 de junio",DOE: 29-06-2022 ,BOE: 12-08-2022,,
9781,(R.I.) - 51 – 0007012 - 00000,BAÑOS DE MONTEMAYOR,CÁCERES,Balneario,"Avenida de las Termas, 64 CP. 10750",257213,4467151,Monumento,"DECRETO 1/1995, de 10 enero",DOE: 17-01-1995,,,
2323,,BAÑOS DE MONTEMAYOR,CÁCERES,Iglesia Parroquial de Santa María de la Asunción,"Calle Doctor Rengifo, 40, CP. 10750  ",257207,4466986,Monumento,"DECRETO 59/2022, de 25 mayo",DOE: 01-06-2022,BOE: 23-06-2022,,
